1.4,505,0
0.8,948,2
1.7,506,5
1.5,809,8
1.9,809,8
1.2,889,9
0.6,289,10
0.8,160,10
0.7,296,10
1.2,160,12
1.0,1108,14
2.2,920,16
1.2,1044,20
0.9,404,20
1.0,335,20
1.5,520,22
1.3,1076,22
0.7,370,23
1.0,405,10
0.3,767,11
1.0,578,12
1.1,368,12
1.0,862,18
2.6,948,21
2.0,719,22
1.2,742,22
2.0,982,0
0.9,697,0
1.5,1080,0
1.8,768,2
2.8,1044,3
1.3,1079,3
1.6,948,3
0.8,404,4
0.5,9,4
3.2,807,8
0.7,704,8
0.9,476,8
2.0,1079,9
2.0,949,10
2.4,1053,10
1.0,1053,13
0.5,697,15
2.2,1049,15
2.0,949,17
1.4,741,18
1.6,740,19
1.4,1079,19
0.8,1045,23
2.5,550,2
7.5,1081,5
1.2,84,6
2.5,890,9
0.3,4,10
0.8,402,11
0.8,404,12
2.5,1076,15
3.0,977,15
1.5,187,19
1.0,447,21
2.2,1073,22
0.9,333,0
1.0,1106,0
0.6,748,2
1.2,582,7
1.6,75,10
1.2,367,10
0.3,1110,10
1.2,521,12
2.0,1042,15
0.3,54,15
2.0,742,15
2.6,1049,21
0.9,506,23
0.6,808,23
2.4,1039,1
2.2,506,4
1.5,920,5
1.0,636,5
1.0,808,7
1.2,448,8
0.8,1043,9
2.0,807,9
1.8,742,9
1.5,75,10
0.9,402,11
2.2,554,12
1.7,879,18
1.3,577,19
4.0,718,19
1.1,473,20
0.8,550,20
0.9,160,21
1.3,692,22
2.8,920,0
0.7,889,1
0.9,743,1
2.3,777,2
1.5,400,7
2.5,742,8
1.0,220,8
1.6,1073,9
0.5,294,9
2.9,888,11
1.0,8,14
1.2,505,14
0.5,370,15
0.6,774,16
1.0,915,16
2.4,748,18
1.5,109,19
0.9,553,19
3.4,948,20
3.5,977,21
3.0,336,4
2.0,977,5
1.5,890,9
1.8,220,10
2.2,701,12
2.1,949,13
0.2,808,13
1.2,367,13
1.8,742,15
2.3,1083,16
1.7,772,16
1.6,717,18
1.0,1106,21
1.5,553,23
0.8,1044,23
0.6,191,0
0.5,1037,0
1.2,697,1
0.6,1108,6
0.9,554,7
2.3,772,13
2.5,888,13
0.8,70,14
1.3,767,14
2.0,1110,16
0.7,766,18
0.9,949,19
1.4,1109,21
1.9,743,23
1.2,160,9
0.9,290,12
1.5,369,12
1.7,914,12
2.0,374,13
1.3,506,15
2.0,157,16
2.1,300,18
3.0,984,18
3.1,195,18
1.5,949,19
1.5,948,21
2.0,978,21
1.1,697,23
0.2,1106,0
1.7,1079,2
1.5,520,3
1.7,742,3
1.6,579,6
1.2,292,9
1.3,583,9
0.5,333,9
0.8,1050,12
2.0,1104,13
2.1,1042,15
5.7,1075,15
1.8,949,16
0.5,652,18
1.2,771,18
2.3,652,19
0.4,699,22
0.9,582,0
2.1,652,3
2.4,650,3
4.0,979,4
1.0,978,6
1.5,474,8
3.1,1037,9
1.7,1044,9
2.1,748,9
1.4,773,9
1.0,554,9
5.6,1043,10
1.5,948,10
1.0,455,10
0.7,1084,10
2.5,521,10
1.2,76,11
2.8,920,11
1.1,704,12
2.0,519,12
1.2,506,12
0.8,949,12
1.9,654,13
1.9,99,13
1.0,75,14
0.5,402,15
2.4,766,18
1.5,698,19
2.4,470,19
1.6,866,19
1.3,366,21
1.0,873,23
1.4,371,23
1.0,922,1
1.8,1039,2
1.0,1107,3
2.4,767,3
1.0,160,4
2.0,977,4
0.8,191,4
1.0,369,8
1.5,1079,9
1.2,504,10
1.9,1049,11
3.0,807,11
3.5,646,12
2.2,983,13
2.0,303,14
2.5,518,16
1.5,520,17
6.0,298,21
2.0,367,22
1.5,809,22
1.0,366,3
1.5,400,6
0.7,402,9
1.5,1109,11
1.1,889,12
1.1,697,15
2.0,1104,15
0.8,504,17
1.2,743,17
1.1,767,18
1.7,1037,20
1.2,333,21
0.8,1042,21
0.5,400,21
2.1,772,22
0.7,300,23
2.1,875,1
2.0,882,3
1.0,948,4
3.1,767,7
1.5,651,7
1.5,1043,8
0.5,978,8
4.0,337,11
0.9,366,11
1.0,470,11
1.2,209,11
1.3,1037,12
2.5,717,14
1.2,504,18
1.3,948,19
1.7,403,22
2.0,292,23
1.0,476,0
3.0,333,0
0.2,577,0
4.5,84,6
0.0,1047,7
1.0,339,9
1.0,984,10
0.5,575,10
2.5,403,10
2.1,1037,10
3.2,777,13
0.6,506,13
1.6,373,14
1.1,1109,15
1.9,194,15
0.2,370,20
1.8,719,20
2.5,1044,21
0.4,808,0
1.0,697,3
2.2,717,3
2.4,949,4
1.1,299,8
1.7,915,10
2.6,580,11
1.0,978,12
1.0,809,13
1.0,583,15
1.0,984,16
2.2,740,20
0.9,1085,21
0.8,890,0
1.7,473,1
2.2,983,1
1.0,914,1
1.4,700,1
1.8,1080,11
1.2,552,12
1.0,574,13
2.5,88,14
0.9,191,14
3.0,742,17
1.0,1110,19
1.8,212,20
4.3,645,20
1.8,1078,22
0.7,1044,22
2.5,701,22
2.0,984,23
0.9,553,23
2.5,742,23
0.5,521,0
2.7,949,1
1.6,883,3
1.8,1073,10
0.6,748,11
1.5,700,12
1.8,307,15
1.0,521,15
2.9,978,17
2.9,576,18
2.5,948,18
2.0,518,19
0.9,1079,20
0.4,949,21
2.0,977,21
1.8,644,1
0.6,948,2
1.4,64,3
1.0,518,10
0.6,702,10
3.0,1077,10
0.9,741,11
2.6,1080,11
1.8,1040,12
1.3,579,14
2.2,653,18
0.8,400,20
0.6,690,20
1.5,915,21
1.0,1106,22
0.8,767,3
2.1,582,3
1.2,475,4
1.1,741,5
2.2,1075,6
1.9,475,7
2.2,74,9
1.5,1037,9
1.5,704,10
1.0,214,11
2.5,1043,13
2.0,1110,17
1.0,475,21
2.2,337,22
1.5,949,22
1.7,701,22
2.5,520,2
2.0,977,2
0.5,652,2
2.0,75,3
2.7,920,4
1.2,365,5
1.0,551,5
1.5,1073,6
0.2,506,6
0.7,402,7
2.0,1110,7
1.1,335,10
0.6,365,10
1.4,654,14
1.8,506,14
1.6,506,14
1.4,519,16
0.3,682,16
0.5,553,16
1.0,982,17
1.5,771,17
0.6,505,19
1.5,1078,19
1.4,220,19
1.1,125,19
3.5,587,20
1.1,651,22
1.3,808,22
0.1,504,23
2.4,551,0
1.5,297,0
2.6,1037,2
0.7,191,3
1.4,748,3
1.0,977,5
2.7,1077,6
1.7,1102,7
1.8,505,9
1.2,743,10
2.6,1044,12
1.7,1040,13
2.0,949,14
2.3,1044,15
4.0,718,17
1.0,745,22
0.6,334,0
4.0,719,1
2.3,773,2
2.2,767,2
1.5,742,3
1.4,299,3
1.7,370,5
2.6,650,6
1.5,38,6
0.7,697,7
0.5,370,8
2.0,982,8
1.3,504,9
1.1,400,10
1.4,742,12
2.3,576,13
2.0,291,14
1.0,519,15
1.5,293,15
0.3,185,19
0.5,1109,21
2.0,520,21
2.8,299,21
0.5,160,22
1.0,39,23
0.6,69,0
3.0,401,1
0.6,292,1
1.9,1083,1
1.5,291,1
1.0,3,2
1.3,948,2
0.5,370,4
1.4,553,5
1.5,455,7
2.9,744,7
3.3,949,7
2.2,553,8
1.9,211,8
1.3,698,9
1.3,1037,10
1.7,742,10
2.2,403,10
1.0,160,12
1.6,400,13
2.2,858,13
1.0,741,14
0.7,370,14
1.8,982,17
1.9,211,18
1.5,290,19
0.7,742,19
