,0,1
401,1000,745
402,600,334
403,4000,719
404,2300,773
405,2200,767
406,1500,742
407,1400,299
408,1700,370
409,2600,650
410,1500,38
411,700,697
412,500,370
413,2000,982
414,1300,504
415,1100,400
416,1400,742
417,2300,576
418,2000,291
419,1000,519
420,1500,293
421,300,185
422,500,1109
423,2000,520
424,2800,299
425,500,160
426,1000,39
427,600,69
428,3000,401
429,600,292
430,1900,1083
431,1500,291
432,1000,3
433,1300,948
434,500,370
435,1400,553
436,1500,455
437,2900,744
438,3300,949
439,2200,553
440,1900,211
441,1300,698
442,1300,1037
443,1700,742
444,2200,403
445,1000,160
446,1600,400
447,2200,858
448,1000,741
449,700,370
450,1800,982
451,1900,211
452,1500,290
453,700,742
454,2500,949
455,900,160
456,1100,333
457,900,948
458,2200,1053
459,2000,983
460,1300,748
461,1900,1037
462,2200,984
463,1000,373
464,600,400
465,700,680
466,900,890
467,1300,742
468,800,864
469,1800,949
470,2500,718
471,900,369
472,1800,1041
473,1900,654
474,1000,949
475,1500,448
476,2000,915
477,500,702
478,1700,808
479,1500,1041
480,2100,1041
481,2000,518
482,1900,642
483,1400,745
484,2500,504
485,1900,1110
486,1000,551
487,2200,748
488,1500,505
489,1000,87
490,1000,506
491,1100,120
492,400,160
493,1800,867
494,500,38
495,1200,977
496,1100,367
497,1500,520
498,700,1108
499,4000,718
500,700,214
501,1900,651
502,1200,506
503,300,878
504,500,289
505,1000,504
506,1000,506
507,1200,553
508,800,119
509,800,702
510,2700,293
511,1800,982
512,1000,748
513,1000,37
514,2000,1108
515,2000,300
516,2000,1102
517,1100,36
518,1900,1080
519,2200,984
520,2600,744
521,900,861
522,1800,767
523,700,1043
524,2500,949
525,1400,1078
526,900,56
527,2500,948
528,1000,949
529,1500,150
530,1500,719
531,1000,1102
532,1500,215
533,300,292
534,2200,984
535,1500,1043
536,1000,1078
537,3000,520
538,400,1108
539,3200,1075
540,1900,916
541,2000,743
542,2100,576
543,1100,470
544,1000,1106
545,2100,685
546,1400,808
547,2200,889
548,1500,475
549,1400,131
550,2000,402
551,1200,118
552,1000,1073
553,2500,400
554,300,652
555,600,191
556,2000,978
557,1500,518
558,2400,643
559,1900,744
560,3400,949
561,2000,520
562,1000,504
563,3700,1043
564,1000,741
565,2300,337
566,2500,521
567,2800,983
568,3600,1037
569,3300,1083
570,1700,921
571,1000,164
572,1000,1109
573,2400,1044
574,500,160
575,3000,983
576,2500,169
577,300,519
578,1500,124
579,1200,440
580,2500,401
581,2000,1104
582,2100,949
583,3000,984
584,1500,580
585,1500,122
586,1000,1106
587,1600,889
588,1900,85
589,700,334
590,1000,60
591,1500,405
592,1200,400
593,300,505
594,2100,337
595,1800,948
596,3100,1039
597,1900,1044
598,1700,471
599,100,23
600,3000,719
601,3400,743
602,2500,1044
603,600,978
604,3200,744
605,700,1106
606,2500,400
607,1100,1110
608,1900,948
609,3000,949
610,1100,574
611,700,38
612,2300,744
613,1700,1037
614,800,808
615,2000,685
616,800,890
617,1400,1073
618,2000,520
619,600,577
620,2300,700
621,800,1039
622,3600,699
623,2100,1102
624,500,948
625,2800,767
626,500,681
627,2900,809
628,1400,73
629,1500,1109
630,1000,1083
631,900,370
632,1000,1108
633,400,160
634,1500,740
635,1700,948
636,1500,74
637,3300,1046
638,800,742
639,4000,743
640,800,1044
641,1400,553
642,3000,521
643,2500,867
644,3200,646
645,700,506
646,2500,915
647,2500,1053
648,0,219
649,0,189
650,2500,1041
651,2500,920
652,700,470
653,2000,1041
654,600,333
655,2300,400
