,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
0,강북,번동,0,0,1400,1
1,관악,봉천,0,2,800,1
2,강북,번동,0,5,1700,1
3,구로,시흥,0,8,1500,0
4,구로,독산,0,8,1900,1
5,영등포,대림,0,9,1200,1
6,성동,왕십리,0,10,600,1
7,중부,무학,0,10,800,1
8,성동,금호,0,10,700,0
9,중부,무학,0,12,1200,1
10,강동,암사,0,14,1000,1
11,동작,백운,0,16,2200,0
12,강남,영동,0,20,1200,1
13,중랑,망우,0,20,900,1
14,광진,구의,0,20,1000,1
15,도봉,방학,0,22,1500,1
16,송파,가락,0,22,1300,1
17,동대문,장안,0,23,700,1
18,중랑,신내,1,10,1000,1
19,구로,공단,1,11,300,1
20,은평,역촌,1,12,1000,1
21,동대문,전농,1,12,1100,1
22,영등포,영등포,1,18,1000,1
23,관악,봉천,1,21,2600,1
24,양천,신월,1,22,2000,0
25,강서,화곡,1,22,1200,1
26,서초,잠원,2,0,2000,1
27,마포,서교,2,0,900,1
28,송파,마천,2,0,1500,0
29,구로,공단,2,2,1800,1
30,강남,영동,2,3,2800,0
31,송파,마천,2,3,1300,1
32,관악,봉천,2,3,1600,1
33,중랑,망우,2,4,800,0
34,종로,신교,2,4,500,1
35,구로,공단,2,8,3200,0
36,마포,상암,2,8,700,1
37,성북,장위,2,8,900,1
38,송파,가락,2,9,2000,1
39,관악,신림,2,10,2000,1
40,강남,역삼,2,10,2400,1
41,강남,역삼,2,13,1000,1
42,마포,서교,2,15,500,1
43,강남,수서,2,15,2200,1
44,관악,난곡,2,17,2000,1
45,강서,등촌,2,18,1400,1
46,강서,등촌,2,19,1600,1
47,송파,가락,2,19,1400,1
48,강남,영동,2,23,800,1
49,노원,월계,3,2,2500,1
50,송파,마천,3,5,7500,0
51,종로,신영,3,6,1200,1
52,영등포,대림,3,9,2500,1
53,종로,신교,3,10,300,1
54,중랑,중화,3,11,800,1
55,중랑,망우,3,12,800,1
56,송파,가락,3,15,2500,1
57,서초,방배,3,15,3000,0
58,용산,한강로,3,19,1500,1
59,성북,돈암,3,21,1000,1
60,송파,운동장,3,22,2200,0
61,광진,중곡,4,0,900,1
62,강동,길동,4,0,1000,1
63,강서,방화,4,2,600,1
64,은평,수색,4,7,1200,1
65,종로,숭인,4,10,1600,1
66,동대문,용두,4,10,1200,1
67,강동,천호,4,10,300,1
68,도봉,도봉,4,12,1200,1
69,강남,삼성,4,15,2000,1
70,종로,종로,4,15,300,1
71,강서,발산,4,15,2000,1
72,강남,수서,4,21,2600,1
73,강북,우이,4,23,900,1
74,구로,독산,4,23,600,1
75,강남,개포,5,1,2400,0
76,강북,번동,5,4,2200,1
77,동작,백운,5,5,1500,1
78,서대문,미근,5,5,1000,1
79,구로,독산,5,7,1000,1
80,성북,돈암,5,8,1200,1
81,강남,영동,5,9,800,1
82,구로,공단,5,9,2000,0
83,강서,화곡,5,9,1800,0
84,종로,숭인,5,10,1500,1
85,중랑,중화,5,11,900,0
86,노원,하계,5,12,2200,1
87,영등포,영등포,5,18,1700,1
88,은평,역촌,5,19,1300,1
89,양천,목동,5,19,4000,0
90,성북,종암,5,20,1100,1
91,노원,월계,5,20,800,1
92,중부,무학,5,21,900,1
93,마포,신수,5,22,1300,1
94,동작,백운,6,0,2800,1
95,영등포,대림,6,1,700,1
96,강서,방화,6,1,900,1
97,구로,수궁,6,2,2300,0
98,중랑,면목,6,7,1500,1
99,강서,등촌,6,8,2500,0
100,용산,이태원,6,8,1000,1
101,송파,운동장,6,9,1600,1
102,성동,금호,6,9,500,1
103,영등포,당산,6,11,2900,1
104,종로,세종로,6,14,1000,1
105,강북,번동,6,14,1200,1
106,동대문,장안,6,15,500,1
107,구로,수궁,6,16,600,1
108,동작,상도,6,16,1000,1
109,강서,개화,6,18,2400,1
110,중부,충무,6,19,1500,1
111,노원,상계,6,19,900,1
112,관악,관악,6,20,3400,1
113,서초,반포,6,21,3500,0
114,광진,구의,0,4,3000,1
115,서초,반포,0,5,2000,0
116,영등포,대림,0,9,1500,1
117,용산,이태원,0,10,1800,1
118,마포,서교,0,12,2200,0
119,관악,난곡,0,13,2100,1
120,구로,독산,0,13,200,0
121,동대문,용두,0,13,1200,1
122,강서,화곡,0,15,1800,1
123,송파,방이,0,16,2300,0
124,구로,고일,0,16,1700,1
125,양천,신정,0,18,1600,1
126,강동,길동,0,21,1000,1
127,노원,수락,0,23,1500,1
128,강남,영동,0,23,800,1
129,용산,후암,1,0,600,1
130,강남,역삼,1,0,500,1
131,마포,서교,1,1,1200,1
132,강동,천호,1,6,600,1
133,노원,상계,1,7,900,1
134,구로,고일,1,13,2300,1
135,영등포,당산,1,13,2500,0
136,종로,연건,1,14,800,0
137,구로,신도림,1,14,1300,1
138,강동,천호,1,16,2000,1
139,구로,신도림,1,18,700,1
140,관악,신림,1,19,900,1
141,강동,성내,1,21,1400,1
142,강서,방화,1,23,1900,1
143,중부,신당,2,9,1200,0
144,성동,왕십리,2,12,900,1
145,동대문,전농,2,12,1500,1
146,동작,노량진,2,12,1700,1
147,동대문,청량리,2,13,2000,1
148,강북,우이,2,15,1300,1
149,중부,을지,2,16,2000,1
150,성동,성수,2,18,2100,0
151,서초,서초,2,18,3000,1
152,용산,한강로,2,18,3100,1
153,관악,난곡,2,19,1500,1
154,관악,봉천,2,21,1500,1
155,서초,양재,2,21,2000,0
156,마포,서교,2,23,1100,1
157,강동,길동,3,0,200,1
158,송파,가락,3,2,1700,1
159,도봉,방학,3,3,1500,1
160,강서,화곡,3,3,1700,0
161,은평,진관,3,6,1600,1
162,성동,행당,3,9,1200,1
163,은평,수색,3,9,1300,1
164,광진,중곡,3,9,500,1
165,강남,수서,3,12,800,1
166,강동,길동,3,13,2000,1
167,강남,삼성,3,15,2100,1
168,송파,방이,3,15,5700,0
169,관악,신림,3,16,1800,1
170,서대문,홍은,3,18,500,1
171,구로,고척,3,18,1200,1
172,서대문,홍은,3,19,2300,0
173,마포,서교,3,22,400,1
174,은평,수색,4,0,900,1
175,서대문,홍은,4,3,2100,1
176,서대문,연희,4,3,2400,1
177,서초,우면,4,4,4000,0
178,서초,양재,4,6,1000,1
179,성북,종암,4,8,1500,1
180,강남,역삼,4,9,3100,1
181,강남,영동,4,9,1700,1
182,강서,개화,4,9,2100,1
183,구로,수궁,4,9,1400,1
184,노원,상계,4,9,1000,1
185,강남,영동,4,10,5600,0
186,관악,봉천,4,10,1500,1
187,성북,돈암,4,10,1000,1
188,송파,마천,4,10,700,1
189,도봉,도봉,4,10,2500,1
190,종로,숭인,4,11,1200,1
191,동작,백운,4,11,2800,1
192,마포,상암,4,12,1100,1
193,도봉,도봉,4,12,2000,1
194,강북,삼각산,4,12,1200,1
195,관악,신림,4,12,800,1
196,서대문,북가좌,4,13,1900,1
197,중부,충무,4,13,1900,1
198,종로,숭인,4,14,1000,1
199,중랑,중화,4,15,500,1
200,구로,신도림,4,18,2400,1
201,마포,서교,4,19,1500,1
202,성북,길음,4,19,2400,1
203,영등포,영등포,4,19,1600,1
204,동대문,용두,4,21,1300,1
205,영등포,당산,4,23,1000,1
206,동대문,청량리,4,23,1400,1
207,동작,동작,5,1,1000,0
208,강남,개포,5,2,1800,1
209,강동,성내,5,3,1000,1
210,구로,구로,5,3,2400,1
211,중부,무학,5,4,1000,1
212,서초,방배,5,4,2000,0
213,용산,후암,5,4,800,1
214,동대문,장안,5,8,1000,1
215,송파,마천,5,9,1500,1
216,강북,미아,5,10,1200,1
217,강남,수서,5,11,1900,1
218,구로,공단,5,11,3000,1
219,서대문,연희,5,12,3500,1
220,서초,잠원,5,13,2200,1
221,성동,성수,5,14,2000,1
222,도봉,쌍문,5,16,2500,1
223,도봉,방학,5,17,1500,1
224,성동,금호,5,21,6000,0
225,동대문,용두,5,22,2000,1
226,구로,시흥,5,22,1500,1
227,동대문,용두,6,3,1000,1
228,중랑,면목,6,6,1500,1
229,중랑,중화,6,9,700,1
230,강동,성내,6,11,1500,1
231,영등포,신길,6,12,1100,1
232,마포,서교,6,15,1100,1
233,강동,길동,6,15,2000,1
234,강북,미아,6,17,800,1
235,강서,등촌,6,17,1200,1
236,구로,공단,6,18,1100,1
237,강남,역삼,6,20,1700,1
238,광진,중곡,6,21,1200,1
239,강남,삼성,6,21,800,1
240,중랑,면목,6,21,500,1
241,구로,고척,6,22,2100,1
242,성동,성수,6,23,700,1
243,영등포,영등포,0,1,2100,1
244,영등포,당산,0,3,2000,1
245,관악,봉천,0,4,1000,1
246,구로,고일,0,7,3100,1
247,서대문,북가좌,0,7,1500,1
248,강남,영동,0,8,1500,1
249,서초,양재,0,8,500,1
250,광진,구의,0,11,4000,1
251,동대문,용두,0,11,900,1
252,성북,길음,0,11,1000,1
253,용산,한강로,0,11,1200,0
254,강남,역삼,0,12,1300,1
255,양천,양천,0,14,2500,1
256,강북,미아,0,18,1200,1
257,관악,관악,0,19,1300,1
258,중랑,신내,0,22,1700,1
259,성동,행당,0,23,2000,1
260,성북,장위,1,0,1000,1
261,광진,중곡,1,0,3000,0
262,은평,진관,1,0,200,1
263,종로,신영,1,6,4500,1
264,강남,수서,1,7,0,1
265,광진,능동,1,9,1000,1
266,서초,서초,1,10,1000,1
267,은평,녹번,1,10,500,1
268,중랑,신내,1,10,2500,1
269,강남,역삼,1,10,2100,1
270,구로,수궁,1,13,3200,1
271,강북,우이,1,13,600,1
272,동대문,휘경,1,14,1600,1
273,강동,성내,1,15,1100,1
274,용산,한강로,1,15,1900,0
275,동대문,장안,1,20,200,1
276,양천,신월,1,20,1800,1
277,강남,영동,1,21,2500,1
278,구로,독산,2,0,400,1
279,마포,서교,2,3,1000,1
280,양천,신정,2,3,2200,0
281,관악,관악,2,4,2400,1
282,성동,행당,2,8,1100,1
283,동작,상도,2,10,1700,1
284,은평,녹번,2,11,2600,1
285,서초,양재,2,12,1000,1
286,구로,시흥,2,13,1000,1
287,은평,수색,2,15,1000,1
288,서초,서초,2,16,1000,1
289,강서,등촌,2,20,2200,1
290,송파,거여,2,21,900,1
291,영등포,대림,3,0,800,1
292,성북,종암,3,1,1700,1
293,서초,잠원,3,1,2200,0
294,동작,노량진,3,1,1000,1
295,마포,서교,3,1,1400,1
296,송파,마천,3,11,1800,1
297,노원,하계,3,12,1200,1
298,은평,수색,3,13,1000,1
299,종로,신교,3,14,2500,0
300,용산,후암,3,14,900,1
301,강서,화곡,3,17,3000,0
302,강동,천호,3,19,1000,1
303,용산,이촌,3,20,1800,1
304,서대문,홍은,3,20,4300,1
305,송파,잠실,3,22,1800,1
306,강남,영동,3,22,700,1
307,마포,서교,3,22,2500,1
308,서초,서초,3,23,2000,0
309,노원,상계,3,23,900,1
310,강서,화곡,3,23,2500,1
311,도봉,도봉,4,0,500,1
312,관악,관악,4,1,2700,1
313,영등포,당산,4,3,1600,1
314,송파,운동장,4,10,1800,0
315,강서,방화,4,11,600,1
316,마포,서교,4,12,1500,1
317,성동,왕십리,4,15,1800,1
318,도봉,도봉,4,15,1000,1
319,서초,양재,4,17,2900,0
320,은평,진관,4,18,2900,1
321,관악,관악,4,18,2500,1
322,도봉,쌍문,4,19,2000,1
323,송파,가락,4,20,900,1
324,관악,신림,4,21,400,1
325,서초,반포,4,21,2000,1
326,서대문,미근,5,1,1800,1
327,관악,봉천,5,2,600,1
328,종로,연건,5,3,1400,1
329,도봉,쌍문,5,10,1000,1
330,마포,성산,5,10,600,1
331,송파,잠실,5,10,3000,1
332,강서,등촌,5,11,900,1
333,송파,가락,5,11,2600,1
334,강남,삼성,5,12,1800,1
335,은평,진관,5,14,1300,1
336,서대문,북가좌,5,18,2200,1
337,중랑,면목,5,20,800,1
338,마포,신수,5,20,600,1
339,동작,상도,5,21,1500,1
340,강동,길동,5,22,1000,1
341,구로,구로,6,3,800,1
342,은평,수색,6,3,2100,0
343,성북,장위,6,4,1200,1
344,강서,등촌,6,5,1100,1
345,송파,방이,6,6,2200,1
346,성북,장위,6,7,1900,1
347,종로,연건,6,9,2200,1
348,강남,역삼,6,9,1500,1
349,마포,상암,6,10,1500,1
350,용산,이태원,6,11,1000,1
351,강남,영동,6,13,2500,1
352,강동,천호,6,17,2000,0
353,성북,장위,6,21,1000,1
354,광진,능동,6,22,2200,1
355,관악,신림,6,22,1500,1
356,마포,서교,6,22,1700,1
357,도봉,방학,0,2,2500,1
358,서초,반포,0,2,2000,1
359,서대문,홍은,0,2,500,1
360,종로,숭인,0,3,2000,1
361,동작,백운,0,4,2700,1
362,동대문,용두,0,5,1200,1
363,노원,공릉,0,5,1000,1
364,송파,운동장,0,6,1500,0
365,강북,우이,0,6,200,1
366,중랑,중화,0,7,700,1
367,강동,천호,0,7,2000,1
368,광진,중곡,0,10,1100,1
369,동대문,용두,0,10,600,1
370,서대문,북가좌,0,14,1400,1
371,강북,번동,0,14,1800,1
372,강북,우이,0,14,1600,1
373,도봉,쌍문,0,16,1400,1
374,마포,염리,0,16,300,1
375,노원,수락,0,16,500,1
376,서초,반포,0,17,1000,0
377,구로,고일,0,17,1500,1
378,강북,번동,0,19,600,1
379,송파,잠실,0,19,1500,1
380,용산,이태원,0,19,1400,1
381,중부,충무,0,19,1100,1
382,은평,진관,0,20,3500,0
383,서대문,연희,0,22,1100,1
384,구로,독산,0,22,1300,1
385,강북,삼각산,0,23,100,1
386,노원,공릉,1,0,2400,1
387,성동,금호,1,0,1500,1
388,강남,역삼,1,2,2600,1
389,용산,후암,1,3,700,1
390,강서,개화,1,3,1400,1
391,서초,반포,1,5,1000,1
392,송파,잠실,1,6,2700,0
393,강동,고덕,1,7,1700,0
394,강북,번동,1,9,1800,1
395,강서,등촌,1,10,1200,1
396,강남,영동,1,12,2600,1
397,강남,삼성,1,13,1700,1
398,관악,신림,1,14,2000,1
399,강남,영동,1,15,2300,1
400,양천,목동,1,17,4000,1
401,강서,발산,1,22,1000,1
402,광진,능동,2,0,600,1
403,양천,신정,2,1,4000,0
404,구로,수궁,2,2,2300,1
405,구로,구로,2,2,2200,1
406,강서,등촌,2,3,1500,1
407,성동,행당,2,3,1400,1
408,동대문,장안,2,5,1700,1
409,서대문,연희,2,6,2600,1
410,종로,종로,2,6,1500,1
411,마포,서교,2,7,700,1
412,동대문,장안,2,8,500,1
413,서초,반포,2,8,2000,0
414,강북,미아,2,9,1300,1
415,중랑,면목,2,10,1100,1
416,강서,등촌,2,12,1400,1
417,은평,진관,2,13,2300,0
418,성동,행당,2,14,2000,1
419,도봉,도봉,2,15,1000,1
420,성동,행당,2,15,1500,1
421,용산,후암,2,19,300,1
422,강동,성내,2,21,500,1
423,도봉,방학,2,21,2000,1
424,성동,행당,2,21,2800,1
425,중부,무학,2,22,500,1
426,종로,세종로,2,23,1000,1
427,종로,연건,3,0,600,1
428,중랑,중화,3,1,3000,1
429,성동,행당,3,1,600,1
430,송파,방이,3,1,1900,0
431,성동,행당,3,1,1500,1
432,종로,신교,3,2,1000,1
433,관악,봉천,3,2,1300,1
434,동대문,장안,3,4,500,1
435,노원,수락,3,5,1400,1
436,성북,돈암,3,7,1500,1
437,강서,방화,3,7,2900,0
438,관악,관악,3,7,3300,1
439,노원,상계,3,8,2200,1
440,용산,한강로,3,8,1900,1
441,마포,서교,3,9,1300,1
442,강남,역삼,3,10,1300,1
443,강서,화곡,3,10,1700,0
444,중랑,중화,3,10,2200,1
445,중부,신당,3,12,1000,1
446,중랑,면목,3,13,1600,1
447,영등포,신길,3,13,2200,1
448,강서,등촌,3,14,1000,1
449,동대문,장안,3,14,700,1
450,서초,잠원,3,17,1800,1
451,용산,한강로,3,18,1900,1
452,성동,왕십리,3,19,1500,1
453,강서,화곡,3,19,700,1
454,관악,관악,3,20,2500,1
455,중부,무학,3,20,900,1
456,광진,중곡,3,21,1100,1
457,관악,봉천,3,22,900,1
458,강남,역삼,4,0,2200,1
459,서초,잠원,4,0,2000,0
460,강서,방화,4,0,1300,1
461,강남,역삼,4,1,1900,1
462,서초,잠원,4,5,2200,1
463,동대문,휘경,4,6,1000,1
464,중랑,면목,4,9,600,1
465,마포,공덕,4,10,700,1
466,영등포,대림,4,10,900,1
467,강서,화곡,4,11,1300,1
468,영등포,영등포,4,12,800,1
469,관악,신림,4,12,1800,1
470,양천,목동,4,12,2500,1
471,동대문,장안,4,13,900,1
472,강남,삼성,4,14,1800,1
473,서대문,북가좌,4,15,1900,1
474,관악,난곡,4,15,1000,1
475,성북,돈암,4,16,1500,1
476,동작,상도,4,16,2000,1
477,마포,성산,4,17,500,1
478,구로,독산,4,17,1700,1
479,강남,삼성,4,17,1500,1
480,강남,삼성,4,18,2100,1
481,도봉,쌍문,4,18,2000,1
482,서대문,미근,4,18,1900,1
483,강서,발산,4,18,1400,1
484,강북,미아,4,19,2500,0
485,강동,천호,4,19,1900,1
486,노원,공릉,4,20,1000,1
487,강서,개화,4,20,2200,1
488,강북,번동,4,20,1500,1
489,종로,신영,4,21,1000,1
490,강북,번동,4,21,1000,1
491,중부,회현,4,22,1100,1
492,중부,무학,4,22,400,1
493,영등포,여의도,4,23,1800,1
494,종로,종로,4,23,500,1
495,서초,방배,4,23,1200,1
496,동대문,용두,4,23,1100,1
497,도봉,창동,5,5,1500,1
498,강동,암사,5,7,700,1
499,양천,목동,5,8,4000,1
500,용산,이태원,5,9,700,1
501,서대문,연희,5,8,1900,1
502,강북,우이,5,9,1200,1
503,영등포,영등포,5,11,300,1
504,성동,왕십리,5,12,500,1
505,강북,미아,5,12,1000,1
506,강북,우이,5,13,1000,1
507,노원,상계,5,13,1200,1
508,중부,회현,5,15,800,1
509,마포,성산,5,15,800,1
510,성동,행당,5,15,2700,1
511,서초,반포,5,15,1800,0
512,강서,방화,5,17,1000,1
513,종로,세종로,5,18,1000,1
514,강동,암사,5,18,2000,1
515,성동,성수,5,18,2000,1
516,강동,암사,5,20,2000,1
517,종로,세종로,5,20,1100,1
518,송파,가락,5,20,1900,0
519,서초,서초,5,21,2200,0
520,강서,방화,5,22,2600,1
521,영등포,영등포,5,23,900,1
522,구로,공단,6,0,1800,0
523,강남,영동,6,0,700,1
524,관악,관악,6,4,2500,1
525,송파,잠실,6,4,1400,1
526,종로,종로,6,9,900,1
527,관악,관악,6,10,2500,1
528,관악,신림,6,11,1000,1
529,중부,을지,6,11,1500,1
530,양천,신월,6,12,1500,1
531,강동,고덕,6,13,1000,1
532,용산,이태원,6,14,1500,1
533,성동,행당,6,14,300,1
534,서초,잠원,6,14,2200,1
535,강남,영동,6,15,1500,1
536,송파,잠실,6,15,1000,1
537,도봉,창동,6,15,3000,1
538,강동,암사,6,15,400,1
539,송파,방이,6,16,3200,1
540,동작,백운,6,16,1900,1
541,강서,방화,6,17,2000,1
542,은평,진관,6,19,2100,1
543,성북,길음,6,19,1100,1
544,강동,길동,6,19,1000,1
545,마포,신수,6,19,2100,1
546,구로,독산,6,20,1400,1
547,영등포,신길,6,21,2200,1
548,성북,장위,6,21,1500,1
549,중부,을지,6,22,1400,1
550,중랑,중화,6,22,2000,1
551,중부,회현,6,23,1200,1
552,송파,운동장,0,1,1000,1
553,중랑,면목,0,1,2500,1
554,서대문,홍은,0,1,300,1
555,용산,후암,0,2,600,1
556,서초,우면,0,2,2000,1
557,도봉,방학,0,2,1500,1
558,서대문,미근,0,9,2400,1
559,강서,방화,0,9,1900,1
560,관악,난곡,0,10,3400,0
561,도봉,창동,0,10,2000,1
562,강북,미아,0,11,1000,1
563,강남,영동,0,12,3700,1
564,강서,등촌,0,13,1000,1
565,광진,능동,0,13,2300,0
566,도봉,도봉,0,13,2500,1
567,서초,잠원,0,15,2800,0
568,강남,역삼,0,15,3600,1
569,송파,방이,0,15,3300,0
570,동작,동작,0,16,1700,1
571,중부,회현,0,16,1000,1
572,강동,성내,0,17,1000,1
573,강남,영동,0,18,2400,1
574,중부,신당,0,19,500,1
575,서초,잠원,0,21,3000,0
576,중부,회현,0,21,2500,0
577,도봉,도봉,0,22,300,1
578,중부,충무,0,22,1500,1
579,성북,돈암,0,23,1200,1
580,중랑,중화,0,23,2500,1
581,강동,길동,1,0,2000,1
582,관악,난곡,1,0,2100,0
583,서초,서초,1,2,3000,1
584,은평,녹번,1,3,1500,0
585,중부,충무,1,3,1500,1
586,강동,길동,1,7,1000,1
587,영등포,대림,1,7,1600,1
588,종로,신영,1,8,1900,1
589,광진,능동,1,8,700,1
590,종로,연건,1,10,1000,1
591,중랑,신내,1,11,1500,1
592,중랑,망우,1,11,1200,1
593,강북,번동,1,11,300,1
594,광진,구의,1,12,2100,1
595,관악,봉천,1,12,1800,1
596,강남,수서,1,14,3100,0
597,강남,영동,1,14,1900,1
598,성북,길음,1,16,1700,1
599,종로,세종로,1,16,100,1
600,양천,신월,1,17,3000,1
601,강서,방화,1,21,3400,1
602,강남,영동,1,23,2500,0
603,서초,양재,2,1,600,1
604,강서,방화,2,1,3200,0
605,강동,길동,2,2,700,1
606,중랑,면목,2,3,2500,1
607,강동,천호,2,4,1100,1
608,관악,봉천,2,6,1900,1
609,관악,관악,2,7,3000,0
610,은평,수색,2,7,1100,1
611,종로,종로,2,7,700,1
612,강서,방화,2,8,2300,1
613,강남,역삼,2,8,1700,1
614,구로,독산,2,9,800,1
615,마포,신수,2,10,2000,0
616,영등포,대림,2,10,800,1
617,송파,운동장,2,11,1400,1
618,도봉,창동,2,13,2000,1
619,은평,진관,2,15,600,1
620,마포,성산,2,15,2300,1
621,강남,개포,2,15,800,1
622,마포,서교,2,18,3600,0
623,강동,고덕,2,20,2100,1
624,관악,봉천,2,20,500,1
625,구로,공단,2,20,2800,0
626,마포,염리,2,21,500,1
627,구로,시흥,2,22,2900,1
628,종로,연건,3,2,1400,1
629,강동,성내,3,3,1500,1
630,송파,방이,3,5,1000,1
631,동대문,장안,3,6,900,1
632,강동,암사,3,6,1000,1
633,중부,무학,3,6,400,1
634,강서,등촌,3,8,1500,1
635,관악,봉천,3,10,1700,1
636,종로,연건,3,10,1500,1
637,강남,수서,3,11,3300,0
638,강서,화곡,3,12,800,1
639,강서,방화,3,12,4000,1
640,강남,영동,3,14,800,1
641,노원,상계,3,17,1400,1
642,도봉,도봉,3,19,3000,1
643,영등포,여의도,3,19,2500,1
644,서대문,연희,3,19,3200,1
645,강북,우이,3,19,700,1
646,동작,상도,3,21,2500,0
647,강남,역삼,3,22,2500,0
648,용산,서빙고,3,22,0,0
649,용산,한강로,3,22,0,1
650,강남,삼성,3,23,2500,1
651,동작,백운,4,0,2500,0
652,성북,길음,4,3,700,1
653,강남,삼성,4,8,2000,1
654,광진,중곡,4,9,600,1
655,중랑,망우,4,14,2300,1
656,강서,화곡,4,15,2300,1
657,용산,한강로,4,17,1100,1
658,송파,마천,4,17,1800,0
659,강남,영동,4,17,3000,1
660,관악,난곡,4,17,2500,0
661,종로,신교,4,18,2000,1
662,강북,번동,4,19,1600,1
663,서대문,홍은,4,19,1500,1
664,구로,시흥,4,20,1100,1
665,용산,이태원,4,22,200,1
666,광진,구의,4,22,700,1
667,강북,우이,5,0,2100,1
668,동작,노량진,5,1,500,1
669,광진,중곡,5,4,1400,1
670,서대문,미근,5,5,1500,1
671,강남,영동,5,5,1800,1
672,광진,중곡,5,7,900,1
673,서대문,연희,5,7,3500,1
674,노원,상계,5,8,700,1
675,노원,수락,5,9,900,1
676,양천,신트리,5,11,2000,1
677,은평,수색,5,12,2100,1
678,마포,상암,5,12,3500,0
679,광진,중곡,5,15,1000,1
680,송파,방이,5,15,1000,1
681,송파,가락,5,16,1400,1
682,양천,신정,5,18,200,1
683,강동,암사,5,20,1200,1
684,용산,한강로,5,22,1200,1
685,구로,공단,5,22,700,1
686,동대문,용두,5,22,1700,1
687,동대문,용두,5,23,800,1
688,서초,방배,6,0,1200,1
689,도봉,도봉,6,2,2500,1
690,동작,백운,6,2,1000,1
691,중랑,면목,6,4,2500,1
692,송파,방이,6,8,3700,1
693,도봉,쌍문,6,9,1700,1
694,양천,신정,6,9,1700,1
695,관악,봉천,6,9,2000,1
696,강동,천호,6,11,1500,1
697,종로,숭인,6,15,1200,1
698,송파,잠실,6,15,2400,1
699,양천,신트리,6,16,900,1
700,송파,거여,6,16,800,1
701,송파,마천,6,18,1000,1
702,관악,신림,6,21,2000,1
703,광진,구의,6,23,1200,1
704,성동,행당,0,0,900,1
705,강남,삼성,0,0,1700,1
706,강동,천호,0,2,2000,1
707,강남,영동,0,8,1800,1
708,구로,수궁,0,9,3600,0
709,영등포,영등포,0,10,1600,1
710,동작,상도,0,10,2000,0
711,강남,삼성,0,10,1500,1
712,광진,능동,0,11,1500,1
713,노원,상계,0,11,400,1
714,마포,성산,0,12,1500,1
715,서대문,홍은,0,13,500,1
716,강동,천호,0,14,1400,1
717,강서,개화,0,14,4000,1
718,성북,장위,0,14,700,1
719,관악,관악,0,15,3000,0
720,도봉,창동,0,16,2500,1
721,강남,영동,0,17,1200,1
722,도봉,도봉,0,18,1800,1
723,동작,노량진,0,19,3000,0
724,강북,미아,0,19,800,1
725,서초,반포,0,19,1900,1
726,관악,신림,0,19,1400,1
727,중랑,중화,0,20,1100,1
728,구로,독산,0,21,1400,1
729,도봉,쌍문,0,22,300,1
730,중부,회현,0,22,2000,1
731,도봉,쌍문,0,22,3000,0
732,성북,길음,0,23,1100,1
733,동작,동작,0,23,1700,0
734,성북,돈암,1,0,300,1
735,종로,연건,1,0,1000,1
736,성북,장위,1,3,1000,1
737,강서,화곡,1,5,2600,1
738,강남,영동,1,5,1400,1
739,관악,봉천,1,6,1400,1
740,서초,서초,1,8,1400,1
741,성동,왕십리,1,9,1900,1
742,도봉,방학,1,12,2500,1
743,마포,서교,1,13,1400,1
744,중부,충무,1,13,1500,1
745,서대문,홍은,1,13,800,1
746,강서,발산,1,16,2000,1
747,강남,역삼,1,16,2000,0
748,송파,마천,1,16,2800,1
749,은평,녹번,1,16,2200,0
750,서초,반포,1,16,200,1
751,강남,역삼,1,17,2600,0
752,관악,신림,1,23,2000,1
753,중부,을지,2,0,1000,1
754,용산,후암,2,0,100,1
755,중부,회현,2,2,1000,1
756,서대문,연희,2,3,3000,1
757,동작,백운,2,3,2700,1
758,마포,성산,2,3,700,1
759,용산,후암,2,4,500,1
760,종로,숭인,2,5,1800,1
761,영등포,대림,2,7,1100,1
762,동작,상도,2,10,1700,1
763,중부,신당,2,11,1500,1
764,영등포,당산,2,11,1600,1
765,양천,신월,2,14,2000,1
766,동작,백운,2,15,2400,1
767,도봉,도봉,2,15,2000,1
768,양천,목동,2,16,1800,0
769,송파,거여,2,16,5000,0
770,서초,잠원,2,16,1200,1
771,마포,서교,2,16,600,1
772,종로,종로,2,19,300,1
773,강남,역삼,2,20,2500,1
774,강남,삼성,2,21,1500,1
775,양천,신월,3,0,2500,1
776,동작,동작,3,0,3100,1
777,성동,왕십리,3,0,1200,1
778,관악,관악,3,6,800,1
779,강남,영동,3,6,1600,1
780,동대문,장안,3,9,1500,1
781,송파,가락,3,10,1500,0
782,중부,회현,3,10,1300,1
783,관악,난곡,3,14,2000,0
784,동작,노량진,3,14,1900,0
785,서초,우면,3,18,4000,0
786,강서,등촌,3,19,2200,0
787,도봉,도봉,3,19,1500,1
788,강북,삼각산,3,22,2100,1
789,구로,수궁,3,23,1600,1
790,강남,삼성,3,23,600,1
791,강남,영동,4,0,1600,1
792,강서,방화,4,0,2300,1
793,광진,능동,4,1,1200,1
794,양천,신정,4,2,600,1
795,구로,구로,4,6,2500,1
796,영등포,영등포,4,6,1300,1
797,강남,삼성,4,8,1800,1
798,서초,서초,4,8,2500,1
799,서초,서초,4,9,1600,1
800,영등포,대림,4,9,2500,0
801,동작,동작,4,11,1300,1
802,성동,행당,4,13,1000,1
803,서대문,미근,4,14,1300,1
804,성북,길음,4,15,800,1
805,송파,방이,4,17,3400,1
806,마포,상암,4,17,1900,1
