,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
8975,성북,길음,6,17,600,1
8976,중랑,망우,6,17,1500,1
8977,서초,양재,6,19,6100,0
8978,관악,봉천,6,19,2000,1
8979,동작,노량진,6,22,600,1
8980,구로,고일,6,22,2200,0
8981,강서,개화,0,1,3400,0
8982,성동,행당,0,3,1200,1
8983,성동,행당,0,4,1200,1
8984,강동,성내,0,5,1100,1
8985,관악,신림,0,8,1100,0
8986,도봉,창동,0,8,1500,1
8987,용산,이태원,0,10,1500,1
8988,종로,숭인,0,10,1100,1
8989,동작,백운,0,13,3000,1
8990,중랑,면목,0,16,500,0
8991,중부,무학,0,18,1000,1
8992,서대문,미근,0,21,1300,0
8993,성동,왕십리,0,21,1300,1
8994,강남,삼성,1,6,2400,1
8995,동작,상도,1,6,1600,0
8996,강서,발산,1,9,1100,1
8997,동대문,휘경,1,10,1500,1
8998,서대문,미근,1,17,500,1
8999,은평,수색,1,17,2400,1
9000,강북,우이,1,19,800,1
9001,노원,하계,1,22,800,1
9002,용산,이태원,2,0,1000,1
9003,강북,번동,2,2,1700,1
9004,강남,역삼,2,7,1100,1
9005,노원,월계,2,10,2700,1
9006,서대문,연희,2,12,2700,1
9007,중랑,망우,2,12,500,1
9008,용산,이촌,2,13,1000,1
9009,서초,반포,2,14,2000,1
9010,은평,진관,2,16,1200,1
9011,강서,등촌,2,16,900,1
9012,강서,방화,2,16,2300,1
9013,강서,등촌,2,18,2600,1
9014,성북,종암,2,22,400,1
9015,강서,화곡,3,1,1500,1
9016,강서,방화,3,1,1500,1
9017,서초,잠원,3,3,3000,0
9018,노원,공릉,3,3,2000,1
9019,마포,상암,3,12,1000,1
9020,강남,역삼,3,13,1300,1
9021,강남,영동,3,14,500,1
9022,중랑,중화,3,14,1600,1
9023,강남,삼성,3,16,3500,0
9024,성북,장위,3,18,1200,1
9025,마포,공덕,3,18,1000,1
9026,영등포,당산,3,20,2700,1
9027,노원,월계,3,22,1400,1
9028,강남,영동,3,23,1100,1
9029,구로,고일,4,1,2300,1
9030,동작,동작,4,4,1600,0
9031,관악,관악,4,5,3000,1
9032,종로,숭인,4,8,2300,0
9033,양천,양천,4,13,1600,1
9034,마포,서교,4,15,1100,1
9035,용산,이태원,4,15,1000,1
9036,관악,관악,4,16,1900,1
9037,강서,등촌,4,17,1700,1
9038,마포,공덕,4,17,700,1
9039,광진,구의,4,19,1200,1
9040,동대문,용두,4,22,1100,1
9041,송파,방이,4,23,2400,1
9042,용산,한강로,5,0,1000,1
9043,은평,녹번,5,0,1100,1
9044,강남,수서,5,1,2200,0
9045,중부,충무,5,2,500,1
9046,관악,관악,5,2,2000,1
9047,구로,시흥,5,3,1300,1
9048,강남,삼성,5,6,2500,0
9049,용산,한강로,5,10,900,1
9050,강서,개화,5,11,2200,1
9051,송파,마천,5,12,2500,1
9052,도봉,창동,5,13,2000,1
9053,강북,미아,5,14,1300,1
9054,종로,신교,5,15,4000,1
9055,성북,장위,5,15,1500,1
9056,동대문,전농,5,16,1200,1
9057,강남,삼성,5,17,2500,1
9058,송파,운동장,5,18,2500,1
9059,강북,번동,5,20,500,1
9060,강서,화곡,5,20,1600,0
9061,관악,신림,5,21,1500,1
9062,강동,성내,5,21,2600,1
9063,동작,노량진,5,22,1400,0
9064,구로,공단,5,22,1100,0
9065,강서,등촌,5,23,3100,1
9066,양천,양천,5,23,1500,1
9067,동작,백운,6,8,2200,1
9068,동대문,용두,6,9,900,1
9069,중랑,면목,6,10,1000,1
9070,서대문,연희,6,12,2800,1
9071,노원,하계,6,14,2100,1
9072,관악,관악,6,14,2200,1
9073,강남,영동,6,15,2000,1
9074,강남,영동,6,16,2400,1
9075,종로,연건,6,16,600,0
9076,서초,반포,6,16,2000,1
9077,서초,반포,6,16,3000,0
9078,노원,수락,6,18,1800,1
9079,중랑,중화,6,19,900,1
9080,은평,진관,6,20,1100,1
9081,성동,행당,6,20,1400,1
9082,동작,동작,6,21,1500,1
9083,구로,독산,6,23,1000,1
9084,강동,성내,0,1,1500,1
9085,강남,역삼,0,1,700,1
9086,성동,금호,0,4,1000,1
9087,서초,서초,0,7,3000,0
9088,도봉,방학,0,7,800,1
9089,영등포,대림,0,8,800,1
9090,구로,수궁,0,9,600,1
